MATINH,MAHUYEN,MAXA,MADIABAN,SONHANKHAU,soho,ky,ttnt,dbmauchu,tentinh,tenhuyen,tenxa,tendb,thon,tenthon,ttnt2019,db2019,db2022,xa2019,xa2022,dakhaosat,kqrasoat,hhur2020,soxa45,wt45,soxa36,wt36,soxa9,wt9,WT_SCIECO
1,272,9754,12,56,15,2,2,601,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tích Giang,cụm 9 - 1,009,Cụm 9,2,131,131,2284,2351,Đã khảo sát 2020 và 2021,0,1086806,68,1065,68,1332,68,5327,59640
1,272,9769,3,60,15,10,2,604,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Phụng Thượng,Cụm 2-1,002,Cụm 2,2,182,180,3904,4009,Mới,0,1086806,68,1054,68,1317,68,5269,63240
1,272,9778,3,79,15,5,2,607,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Hiệp Thuận,Cụm 2-1,002,Cụm 2,2,187,193,2747,2845,Đã khảo sát 2021,0,1086806,68,1100,68,1375,68,5498,86900
1,273,9793,17,57,15,12,2,612,Thành phố Hà Nội,Huyện Đan Phượng,Xã Thọ Xuân,Cum dân cư số 10,010,Cum dân cư số 10,2,187,186,2431,2476,Mới,0,1086806,68,1060,68,1325,68,5299,60420
1,273,9817,4,62,15,7,2,618,Thành phố Hà Nội,Huyện Đan Phượng,Xã Tân Hội,Cụm 1+2 – thôn Vĩnh Kỳ-2,002,Cụm 2,2,139,140,5485,5911,Đã khảo sát 2020,0,1086806,68,1073,68,1341,68,5366,66526
1,273,9826,5,70,15,1,2,623,Thành phố Hà Nội,Huyện Đan Phượng,Xã Đồng Tháp,Thôn Bãi Thụy-2,003,Bãi Thụy,2,153,153,1970,2204,Đã khảo sát 2020 và 2021,0,1086806,68,1065,68,1332,68,5327,74550
1,274,9847,4,60,15,8,2,629,Thành phố Hà Nội,Huyện Hoài Đức,Xã Đức Giang,Xóm 1- Cao Trung,001,Cao Trung,2,138,134,3422,3917,Mới,0,1086806,68,1035,68,1293,68,5173,62100
1,274,9850,23,63,15,10,2,631,Thành phố Hà Nội,Huyện Hoài Đức,Xã Cát Quế,Thôn 8(Khu 14+ Cát Trung),008,Thôn 8,2,118,121,4091,4236,Đã khảo sát 2021,0,1086806,68,1093,68,1366,68,5463,68859
1,274,9877,47,50,15,3,2,641,Thành phố Hà Nội,Huyện Hoài Đức,Xã An Khánh,Tầng 9 - tầng 12B Toà CC Gemek Tower II,003,An Thọ,2,147,150,11453,11230,Đã khảo sát 2020,0,1086806,68,1087,68,1359,68,5436,54350
1,274,9889,11,53,15,6,2,646,Thành phố Hà Nội,Huyện Hoài Đức,Xã La Phù,Thôn Trần Phú I,006,Thôn Trần Phú,2,148,152,3238,3327,Đã khảo sát 2020 và 2021,0,1086806,68,1094,68,1368,68,5471,57982
